name,url,description,combined_text,text_for_embedding
OPQ Team Impact Individual Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,,OPQ Team Impact Individual Development Report ,OPQ Team Impact Individual Development Report 
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,,OPQ Team Impact Selection Report ,OPQ Team Impact Selection Report 
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,,OPQ Team Types & Leadership Styles Profile ,OPQ Team Types & Leadership Styles Profile 
OPQ Team Types and Leadership Styles Report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,,OPQ Team Types and Leadership Styles Report ,OPQ Team Types and Leadership Styles Report 
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,,OPQ UCF Development Action Planner Report 1.0 ,OPQ UCF Development Action Planner Report 1.0 
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,,OPQ UCF Development Action Planner Report 2.0 ,OPQ UCF Development Action Planner Report 2.0 
OPQ Universal Competency Report 1.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/,,OPQ Universal Competency Report 1.0 ,OPQ Universal Competency Report 1.0 
OPQ Universal Competency Report 2.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/,,OPQ Universal Competency Report 2.0 ,OPQ Universal Competency Report 2.0 
OPQ User and Managers Report,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/,,OPQ User and Managers Report ,OPQ User and Managers Report 
OPQ User Report,https://www.shl.com/products/product-catalog/view/opq-user-report/,,OPQ User Report ,OPQ User Report 
Oracle DBA (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,,Oracle DBA (Advanced Level) (New) ,Oracle DBA (Advanced Level) (New) 
Oracle DBA (Entry Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/,,Oracle DBA (Entry Level) (New) ,Oracle DBA (Entry Level) (New) 
Oracle PL/SQL (New),https://www.shl.com/products/product-catalog/view/oracle-plsql-new/,,Oracle PL/SQL (New) ,Oracle PL/SQL (New) 
Oracle WebLogic Server (New),https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,,Oracle WebLogic Server (New) ,Oracle WebLogic Server (New) 
Organic Chemistry (New),https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,,Organic Chemistry (New) ,Organic Chemistry (New) 
Paint Technology (New),https://www.shl.com/products/product-catalog/view/paint-technology-new/,,Paint Technology (New) ,Paint Technology (New) 
Pediatrics (New),https://www.shl.com/products/product-catalog/view/pediatrics-new/,,Pediatrics (New) ,Pediatrics (New) 
Pega Development (New),https://www.shl.com/products/product-catalog/view/pega-development-new/,,Pega Development (New) ,Pega Development (New) 
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new/,,Perl (New) ,Perl (New) 
Petrochemical Engineering (New),https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,,Petrochemical Engineering (New) ,Petrochemical Engineering (New) 
Petroleum Engineering (New),https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,,Petroleum Engineering (New) ,Petroleum Engineering (New) 
Pharmaceutical Analysis (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,,Pharmaceutical Analysis (New) ,Pharmaceutical Analysis (New) 
Pharmaceutical Chemistry (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,,Pharmaceutical Chemistry (New) ,Pharmaceutical Chemistry (New) 
Pharmaceutical Science (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,,Pharmaceutical Science (New) ,Pharmaceutical Science (New) 
Pharmaceutics (New),https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,,Pharmaceutics (New) ,Pharmaceutics (New) 
Pharmacology (New),https://www.shl.com/products/product-catalog/view/pharmacology-new/,,Pharmacology (New) ,Pharmacology (New) 
PHP (New),https://www.shl.com/products/product-catalog/view/php-new/,,PHP (New) ,PHP (New) 
PJM Development Report,https://www.shl.com/products/product-catalog/view/pjm-development-report/,,PJM Development Report ,PJM Development Report 
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,,PJM Selection Report ,PJM Selection Report 
Polymer Engineering (New),https://www.shl.com/products/product-catalog/view/polymer-engineering-new/,,Polymer Engineering (New) ,Polymer Engineering (New) 
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,,Power Electronics and Drives (New) ,Power Electronics and Drives (New) 
Power System Engineering (New),https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,,Power System Engineering (New) ,Power System Engineering (New) 
Prism (New),https://www.shl.com/products/product-catalog/view/prism-new/,,Prism (New) ,Prism (New) 
Production and Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,,Production and Industrial Engineering (New) ,Production and Industrial Engineering (New) 
Production Engineering (New),https://www.shl.com/products/product-catalog/view/production-engineering-new/,,Production Engineering (New) ,Production Engineering (New) 
Programming Concepts,https://www.shl.com/products/product-catalog/view/programming-concepts/,,Programming Concepts ,Programming Concepts 
Project Management (2013),https://www.shl.com/products/product-catalog/view/project-management-2013/,,Project Management (2013) ,Project Management (2013) 
Proofreading v1,https://www.shl.com/products/product-catalog/view/proofreading-v1/,,Proofreading v1 ,Proofreading v1 
Python (New),https://www.shl.com/products/product-catalog/view/python-new/,,Python (New) ,Python (New) 
R Programming (New),https://www.shl.com/products/product-catalog/view/r-programming-new/,,R Programming (New) ,R Programming (New) 
ReactJS (New),https://www.shl.com/products/product-catalog/view/reactjs-new/,,ReactJS (New) ,ReactJS (New) 
Reading Comprehension - English v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/,,Reading Comprehension - English v1 ,Reading Comprehension - English v1 
Reading Comprehension - Spanish v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,,Reading Comprehension - Spanish v1 ,Reading Comprehension - Spanish v1 
Reading Comprehension v2,https://www.shl.com/products/product-catalog/view/reading-comprehension-v2/,,Reading Comprehension v2 ,Reading Comprehension v2 
RemoteWorkQ,https://www.shl.com/products/product-catalog/view/remoteworkq/,,RemoteWorkQ ,RemoteWorkQ 
RemoteWorkQ Manager Report,https://www.shl.com/products/product-catalog/view/remoteworkq-manager-report/,,RemoteWorkQ Manager Report ,RemoteWorkQ Manager Report 
RemoteWorkQ Participant Report,https://www.shl.com/products/product-catalog/view/remoteworkq-participant-report/,,RemoteWorkQ Participant Report ,RemoteWorkQ Participant Report 
RESTful Web Services (New),https://www.shl.com/products/product-catalog/view/restful-web-services-new/,,RESTful Web Services (New) ,RESTful Web Services (New) 
Retail Sales and Service Simulation,https://www.shl.com/products/product-catalog/view/retail-sales-and-service-simulation/,,Retail Sales and Service Simulation ,Retail Sales and Service Simulation 
Reviewing Forms - US (R1),https://www.shl.com/products/product-catalog/view/reviewing-forms-us-r1/,,Reviewing Forms - US (R1) ,Reviewing Forms - US (R1) 
Ruby (New),https://www.shl.com/products/product-catalog/view/ruby-new/,,Ruby (New) ,Ruby (New) 
Ruby on Rails (New),https://www.shl.com/products/product-catalog/view/ruby-on-rails-new/,,Ruby on Rails (New) ,Ruby on Rails (New) 
Sales & Service Phone Simulation,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-simulation/,,Sales & Service Phone Simulation ,Sales & Service Phone Simulation 
Sales & Service Phone Solution,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-solution/,,Sales & Service Phone Solution ,Sales & Service Phone Solution 
Sales Interview Guide,https://www.shl.com/products/product-catalog/view/sales-interview-guide/,,Sales Interview Guide ,Sales Interview Guide 
Sales Profiler Cards,https://www.shl.com/products/product-catalog/view/sales-profiler-cards/,,Sales Profiler Cards ,Sales Profiler Cards 
Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/sales-transformation-report-individual-contributor/,,Sales Transformation 1.0 - Individual Contributor ,Sales Transformation 1.0 - Individual Contributor 
Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,,Sales Transformation 2.0 - Individual Contributor ,Sales Transformation 2.0 - Individual Contributor 
Sales Transformation Report 1.0 - Sales Manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-sales-manager/,,Sales Transformation Report 1.0 - Sales Manager ,Sales Transformation Report 1.0 - Sales Manager 
Sales Transformation Report 2.0 - Sales Manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/,,Sales Transformation Report 2.0 - Sales Manager ,Sales Transformation Report 2.0 - Sales Manager 
Salesforce Development (New),https://www.shl.com/products/product-catalog/view/salesforce-development-new/,,Salesforce Development (New) ,Salesforce Development (New) 
SAP ABAP (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/sap-abap-advanced-level-new/,,SAP ABAP (Advanced Level) (New) ,SAP ABAP (Advanced Level) (New) 
SAP ABAP (Intermediate Level) (New),https://www.shl.com/products/product-catalog/view/sap-abap-intermediate-level-new/,,SAP ABAP (Intermediate Level) (New) ,SAP ABAP (Intermediate Level) (New) 
SAP Basis (New),https://www.shl.com/products/product-catalog/view/sap-basis-new/,,SAP Basis (New) ,SAP Basis (New) 
SAP Business Objects WebI (New),https://www.shl.com/products/product-catalog/view/sap-business-objects-webi-new/,,SAP Business Objects WebI (New) ,SAP Business Objects WebI (New) 
SAP BW (Business Warehouse) (New),https://www.shl.com/products/product-catalog/view/sap-bw-business-warehouse-new/,,SAP BW (Business Warehouse) (New) ,SAP BW (Business Warehouse) (New) 
SAP HCM (Human Capital Management) (New),https://www.shl.com/products/product-catalog/view/sap-hcm-human-capital-management-new/,,SAP HCM (Human Capital Management) (New) ,SAP HCM (Human Capital Management) (New) 
SAP Hybris (New),https://www.shl.com/products/product-catalog/view/sap-hybris-new/,,SAP Hybris (New) ,SAP Hybris (New) 
SAP Materials Management (New),https://www.shl.com/products/product-catalog/view/sap-materials-management-new/,,SAP Materials Management (New) ,SAP Materials Management (New) 
SAP SD (Sales and Distribution) (New),https://www.shl.com/products/product-catalog/view/sap-sd-sales-and-distribution-new/,,SAP SD (Sales and Distribution) (New) ,SAP SD (Sales and Distribution) (New) 
Search Engine Optimization (New),https://www.shl.com/products/product-catalog/view/search-engine-optimization-new/,,Search Engine Optimization (New) ,Search Engine Optimization (New) 
Selenium (New),https://www.shl.com/products/product-catalog/view/selenium-new/,,Selenium (New) ,Selenium (New) 
Shell Scripting (New),https://www.shl.com/products/product-catalog/view/shell-scripting-new/,,Shell Scripting (New) ,Shell Scripting (New) 
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,,SHL Verify Interactive - Inductive Reasoning ,SHL Verify Interactive - Inductive Reasoning 
SHL Verify Interactive – Deductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,,SHL Verify Interactive – Deductive Reasoning ,SHL Verify Interactive – Deductive Reasoning 
SHL Verify Interactive – Numerical Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,,SHL Verify Interactive – Numerical Reasoning ,SHL Verify Interactive – Numerical Reasoning 
SHL Verify Interactive G+,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-g/,,SHL Verify Interactive G+ ,SHL Verify Interactive G+ 
SHL Verify Interactive Numerical Calculation,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,,SHL Verify Interactive Numerical Calculation ,SHL Verify Interactive Numerical Calculation 
Siebel Development (New),https://www.shl.com/products/product-catalog/view/siebel-development-new/,,Siebel Development (New) ,Siebel Development (New) 
Smart Interview Live,https://www.shl.com/products/product-catalog/view/smart-interview-live/,,Smart Interview Live ,Smart Interview Live 
Smart Interview Live Coding,https://www.shl.com/products/product-catalog/view/smart-interview-live-coding/,,Smart Interview Live Coding ,Smart Interview Live Coding 
Smart Interview On Demand,https://www.shl.com/products/product-catalog/view/smart-interview-on-demand/,,Smart Interview On Demand ,Smart Interview On Demand 
Social Media (New),https://www.shl.com/products/product-catalog/view/social-media-new/,,Social Media (New) ,Social Media (New) 
Software Business Analysis,https://www.shl.com/products/product-catalog/view/software-business-analysis/,,Software Business Analysis ,Software Business Analysis 
SonarQube (New),https://www.shl.com/products/product-catalog/view/sonarqube-new/,,SonarQube (New) ,SonarQube (New) 
Spelling (U.S.) (New),https://www.shl.com/products/product-catalog/view/spelling-u-s-new/,,Spelling (U.S.) (New) ,Spelling (U.S.) (New) 
Split Screen Typing Test - Form 1,https://www.shl.com/products/product-catalog/view/split-screen-typing-test-form-1/,,Split Screen Typing Test - Form 1 ,Split Screen Typing Test - Form 1 
Spring (New),https://www.shl.com/products/product-catalog/view/spring-new/,,Spring (New) ,Spring (New) 
SQL (New),https://www.shl.com/products/product-catalog/view/sql-new/,,SQL (New) ,SQL (New) 
SQL Server (New),https://www.shl.com/products/product-catalog/view/sql-server-new/,,SQL Server (New) ,SQL Server (New) 
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,,SQL Server Analysis Services (SSAS) (New) ,SQL Server Analysis Services (SSAS) (New) 
SQL Server Integration Services (SSIS) (New),https://www.shl.com/products/product-catalog/view/sql-server-integration-services-ssis-new/,,SQL Server Integration Services (SSIS) (New) ,SQL Server Integration Services (SSIS) (New) 
SQL Server Reporting Services (SSRS) (New),https://www.shl.com/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,,SQL Server Reporting Services (SSRS) (New) ,SQL Server Reporting Services (SSRS) (New) 
Statistical Analysis System (New),https://www.shl.com/products/product-catalog/view/statistical-analysis-system-new/,,Statistical Analysis System (New) ,Statistical Analysis System (New) 
Struts (New),https://www.shl.com/products/product-catalog/view/struts-new/,,Struts (New) ,Struts (New) 
SVAR - Spoken English (AUS),https://www.shl.com/products/product-catalog/view/svar-spoken-english-aus/,,SVAR - Spoken English (AUS) ,SVAR - Spoken English (AUS) 
SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/products/product-catalog/view/svar-spoken-english-indian-accent-new/,,SVAR - Spoken English (Indian Accent)  (New) ,SVAR - Spoken English (Indian Accent)  (New) 
SVAR - Spoken English (U.K.),https://www.shl.com/products/product-catalog/view/svar-spoken-english-u-k/,,SVAR - Spoken English (U.K.) ,SVAR - Spoken English (U.K.) 
SVAR - Spoken English (US)  (New),https://www.shl.com/products/product-catalog/view/svar-spoken-english-us-new/,,SVAR - Spoken English (US)  (New) ,SVAR - Spoken English (US)  (New) 
SVAR - Spoken French (Canadian) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-french-canadian-new/,,SVAR - Spoken French (Canadian) (New) ,SVAR - Spoken French (Canadian) (New) 
SVAR - Spoken French (European) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-french-european-new/,,SVAR - Spoken French (European) (New) ,SVAR - Spoken French (European) (New) 
SVAR - Spoken Spanish (Castilian) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-castilian-new/,,SVAR - Spoken Spanish (Castilian) (New) ,SVAR - Spoken Spanish (Castilian) (New) 
SVAR - Spoken Spanish (North American) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-north-american-new/,,SVAR - Spoken Spanish (North American) (New) ,SVAR - Spoken Spanish (North American) (New) 
Swing (New),https://www.shl.com/products/product-catalog/view/swing-new/,,Swing (New) ,Swing (New) 
Tableau (New),https://www.shl.com/products/product-catalog/view/tableau-new/,,Tableau (New) ,Tableau (New) 
Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/telecommunications-engineering-new/,,Telecommunications Engineering (New) ,Telecommunications Engineering (New) 
Teradata Development (New),https://www.shl.com/products/product-catalog/view/teradata-development-new/,,Teradata Development (New) ,Teradata Development (New) 
Time Management (U.S.),https://www.shl.com/products/product-catalog/view/time-management-u-s/,,Time Management (U.S.) ,Time Management (U.S.) 
Training Development,https://www.shl.com/products/product-catalog/view/training-development/,,Training Development ,Training Development 
Typing (New),https://www.shl.com/products/product-catalog/view/typing-new/,,Typing (New) ,Typing (New) 
UiPath RPA Development (New),https://www.shl.com/products/product-catalog/view/uipath-rpa-development-new/,,UiPath RPA Development (New) ,UiPath RPA Development (New) 
Universal Competency Framework Interview Guide,https://www.shl.com/products/product-catalog/view/universal-competency-framework-interview-guide/,,Universal Competency Framework Interview Guide ,Universal Competency Framework Interview Guide 
Universal Competency Framework Job profiling guide,https://www.shl.com/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,,Universal Competency Framework Job profiling guide ,Universal Competency Framework Job profiling guide 
Universal Competency Framework Profiler Cards (44),https://www.shl.com/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,,Universal Competency Framework Profiler Cards (44) ,Universal Competency Framework Profiler Cards (44) 
UNIX (New),https://www.shl.com/products/product-catalog/view/unix-new/,,UNIX (New) ,UNIX (New) 
VB.NET (New),https://www.shl.com/products/product-catalog/view/vb-net-new/,,VB.NET (New) ,VB.NET (New) 
Verify - Deductive Reasoning,https://www.shl.com/products/product-catalog/view/verify-deductive-reasoning/,,Verify - Deductive Reasoning ,Verify - Deductive Reasoning 
Verify - Following Instructions,https://www.shl.com/products/product-catalog/view/verify-following-instructions/,,Verify - Following Instructions ,Verify - Following Instructions 
Verify - G+,https://www.shl.com/products/product-catalog/view/verify-g/,,Verify - G+ ,Verify - G+ 
Verify - General Ability Screen,https://www.shl.com/products/product-catalog/view/verify-general-ability-screen/,,Verify - General Ability Screen ,Verify - General Ability Screen 
Verify - Inductive Reasoning (2014),https://www.shl.com/products/product-catalog/view/verify-inductive-reasoning-2014/,,Verify - Inductive Reasoning (2014) ,Verify - Inductive Reasoning (2014) 
Verify - Numerical Ability,https://www.shl.com/products/product-catalog/view/verify-numerical-ability/,,Verify - Numerical Ability ,Verify - Numerical Ability 
Verify - Technical Checking - Next Generation,https://www.shl.com/products/product-catalog/view/verify-technical-checking-next-generation/,,Verify - Technical Checking - Next Generation ,Verify - Technical Checking - Next Generation 
Verify - Verbal Ability - Next Generation,https://www.shl.com/products/product-catalog/view/verify-verbal-ability-next-generation/,,Verify - Verbal Ability - Next Generation ,Verify - Verbal Ability - Next Generation 
Verify - Working with Information,https://www.shl.com/products/product-catalog/view/verify-working-with-information/,,Verify - Working with Information ,Verify - Working with Information 
Verify G+ - Ability Test Report,https://www.shl.com/products/product-catalog/view/verify-g-ability-test-report/,,Verify G+ - Ability Test Report ,Verify G+ - Ability Test Report 
Verify G+ - Candidate Report,https://www.shl.com/products/product-catalog/view/verify-g-candidate-report/,,Verify G+ - Candidate Report ,Verify G+ - Candidate Report 
Verify Interactive Ability Report,https://www.shl.com/products/product-catalog/view/verify-interactive-ability-report/,,Verify Interactive Ability Report ,Verify Interactive Ability Report 
Verify Interactive G+ Candidate Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-candidate-report/,,Verify Interactive G+ Candidate Report ,Verify Interactive G+ Candidate Report 
Verify Interactive G+ Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-report/,,Verify Interactive G+ Report ,Verify Interactive G+ Report 
Verify Interactive Process Monitoring,https://www.shl.com/products/product-catalog/view/verify-interactive-process-monitoring/,,Verify Interactive Process Monitoring ,Verify Interactive Process Monitoring 
Virtual Assessment and Development Centers,https://www.shl.com/products/product-catalog/view/virtual-assessment-and-development-centers/,,Virtual Assessment and Development Centers ,Virtual Assessment and Development Centers 
Visual Basic for Applications (New),https://www.shl.com/products/product-catalog/view/visual-basic-for-applications-new/,,Visual Basic for Applications (New) ,Visual Basic for Applications (New) 
Visual Comparison - UK,https://www.shl.com/products/product-catalog/view/visual-comparison-uk/,,Visual Comparison - UK ,Visual Comparison - UK 
Visual Comparison - US,https://www.shl.com/products/product-catalog/view/visual-comparison-us/,,Visual Comparison - US ,Visual Comparison - US 
VLSI and Embedded Systems (New),https://www.shl.com/products/product-catalog/view/vlsi-and-embedded-systems-new/,,VLSI and Embedded Systems (New) ,VLSI and Embedded Systems (New) 
What Is The Value - US,https://www.shl.com/products/product-catalog/view/what-is-the-value-us/,,What Is The Value - US ,What Is The Value - US 
Workplace Administration Skills (New),https://www.shl.com/products/product-catalog/view/workplace-administration-skills-new/,,Workplace Administration Skills (New) ,Workplace Administration Skills (New) 
Workplace Health and Safety (New),https://www.shl.com/products/product-catalog/view/workplace-health-and-safety-new/,,Workplace Health and Safety (New) ,Workplace Health and Safety (New) 
WriteX - Email Writing (Customer Service) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-customer-service-new/,,WriteX - Email Writing (Customer Service) (New) ,WriteX - Email Writing (Customer Service) (New) 
WriteX - Email Writing (Managerial) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-managerial-new/,,WriteX - Email Writing (Managerial) (New) ,WriteX - Email Writing (Managerial) (New) 
WriteX - Email Writing (Sales) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-sales-new/,,WriteX - Email Writing (Sales) (New) ,WriteX - Email Writing (Sales) (New) 
Written English v1,https://www.shl.com/products/product-catalog/view/written-english-v1/,,Written English v1 ,Written English v1 
Written Spanish,https://www.shl.com/products/product-catalog/view/written-spanish/,,Written Spanish ,Written Spanish 
Zabbix (New),https://www.shl.com/products/product-catalog/view/zabbix-new/,,Zabbix (New) ,Zabbix (New) 
360 Digital Report,https://www.shl.com/products/product-catalog/view/360-digital-report/,,360 Digital Report ,360 Digital Report 
360° Multi-Rater Feedback System (MFS),https://www.shl.com/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,,360° Multi-Rater Feedback System (MFS) ,360° Multi-Rater Feedback System (MFS) 
