name,url,description,combined_text,text_for_embedding
Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,,Gaming Manager Solution ,Gaming Manager Solution 
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,,General Entry Level - All Industries 7.0 Solution ,General Entry Level - All Industries 7.0 Solution 
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,,General Entry Level - All Industries 7.1 Solution ,General Entry Level - All Industries 7.1 Solution 
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,,General Entry Level - All Industries 7.1(Americas) ,General Entry Level - All Industries 7.1(Americas) 
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,,General Entry Level – Data Entry 7.0 Solution ,General Entry Level – Data Entry 7.0 Solution 
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,,Graduate + 8.0 Job Focused Assessment ,Graduate + 8.0 Job Focused Assessment 
Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,,Graduate 7.1 Job Focused Assessment ,Graduate 7.1 Job Focused Assessment 
Graduate 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,,Graduate 8.0 Job Focused Assessment ,Graduate 8.0 Job Focused Assessment 
Guest Service Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/,,Guest Service Team 7.0 Solution ,Guest Service Team 7.0 Solution 
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,,Automata Data Science (New) ,Automata Data Science (New) 
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,,Automata Data Science Pro (New) ,Automata Data Science Pro (New) 
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,,Automata Front End ,Automata Front End 
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,,Automata Pro (New) ,Automata Pro (New) 
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,,Automata Selenium ,Automata Selenium 
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,,Automation Anywhere RPA Development (New) ,Automation Anywhere RPA Development (New) 
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,,Automotive Engineering (New) ,Automotive Engineering (New) 
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,,Basic Biology (New) ,Basic Biology (New) 
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,,Basic Computer Literacy (Windows 10) (New) ,Basic Computer Literacy (Windows 10) (New) 
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,,Basic Statistics (New) ,Basic Statistics (New) 
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,,Biochemistry (New) ,Biochemistry (New) 
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,,Biotech Lab Techniques (New) ,Biotech Lab Techniques (New) 
Guest Services Associate Solution,https://www.shl.com/products/product-catalog/view/guest-services-associate-solution/,,Guest Services Associate Solution ,Guest Services Associate Solution 
Healthcare Aide 7.0 Solution,https://www.shl.com/products/product-catalog/view/healthcare-aide-7-0-solution/,,Healthcare Aide 7.0 Solution ,Healthcare Aide 7.0 Solution 
Healthcare Call Center Agent Solution,https://www.shl.com/products/product-catalog/view/healthcare-call-center-agent-solution/,,Healthcare Call Center Agent Solution ,Healthcare Call Center Agent Solution 
Healthcare Service Associate Solution,https://www.shl.com/products/product-catalog/view/healthcare-service-associate-solution/,,Healthcare Service Associate Solution ,Healthcare Service Associate Solution 
Healthcare Support Specialist Solution,https://www.shl.com/products/product-catalog/view/healthcare-support-specialist-solution/,,Healthcare Support Specialist Solution ,Healthcare Support Specialist Solution 
